96
ERCC-00002	ERCC-00002	MissingGeneType
ERCC-00003	ERCC-00003	MissingGeneType
ERCC-00004	ERCC-00004	MissingGeneType
ERCC-00007	ERCC-00007	MissingGeneType
ERCC-00009	ERCC-00009	MissingGeneType
ERCC-00012	ERCC-00012	MissingGeneType
ERCC-00013	ERCC-00013	MissingGeneType
ERCC-00014	ERCC-00014	MissingGeneType
ERCC-00016	ERCC-00016	MissingGeneType
ERCC-00017	ERCC-00017	MissingGeneType
ERCC-00018	ERCC-00018	MissingGeneType
ERCC-00019	ERCC-00019	MissingGeneType
ERCC-00022	ERCC-00022	MissingGeneType
ERCC-00023	ERCC-00023	MissingGeneType
ERCC-00024	ERCC-00024	MissingGeneType
ERCC-00025	ERCC-00025	MissingGeneType
ERCC-00028	ERCC-00028	MissingGeneType
ERCC-00031	ERCC-00031	MissingGeneType
ERCC-00033	ERCC-00033	MissingGeneType
ERCC-00034	ERCC-00034	MissingGeneType
ERCC-00035	ERCC-00035	MissingGeneType
ERCC-00039	ERCC-00039	MissingGeneType
ERCC-00040	ERCC-00040	MissingGeneType
ERCC-00041	ERCC-00041	MissingGeneType
ERCC-00042	ERCC-00042	MissingGeneType
ERCC-00043	ERCC-00043	MissingGeneType
ERCC-00044	ERCC-00044	MissingGeneType
ERCC-00046	ERCC-00046	MissingGeneType
ERCC-00048	ERCC-00048	MissingGeneType
ERCC-00051	ERCC-00051	MissingGeneType
ERCC-00053	ERCC-00053	MissingGeneType
ERCC-00054	ERCC-00054	MissingGeneType
ERCC-00057	ERCC-00057	MissingGeneType
ERCC-00058	ERCC-00058	MissingGeneType
ERCC-00059	ERCC-00059	MissingGeneType
ERCC-00060	ERCC-00060	MissingGeneType
ERCC-00061	ERCC-00061	MissingGeneType
ERCC-00062	ERCC-00062	MissingGeneType
ERCC-00067	ERCC-00067	MissingGeneType
ERCC-00069	ERCC-00069	MissingGeneType
ERCC-00071	ERCC-00071	MissingGeneType
ERCC-00073	ERCC-00073	MissingGeneType
ERCC-00074	ERCC-00074	MissingGeneType
ERCC-00075	ERCC-00075	MissingGeneType
ERCC-00076	ERCC-00076	MissingGeneType
ERCC-00077	ERCC-00077	MissingGeneType
ERCC-00078	ERCC-00078	MissingGeneType
ERCC-00079	ERCC-00079	MissingGeneType
ERCC-00081	ERCC-00081	MissingGeneType
ERCC-00083	ERCC-00083	MissingGeneType
ERCC-00084	ERCC-00084	MissingGeneType
ERCC-00085	ERCC-00085	MissingGeneType
ERCC-00086	ERCC-00086	MissingGeneType
ERCC-00092	ERCC-00092	MissingGeneType
ERCC-00095	ERCC-00095	MissingGeneType
ERCC-00096	ERCC-00096	MissingGeneType
ERCC-00097	ERCC-00097	MissingGeneType
ERCC-00098	ERCC-00098	MissingGeneType
ERCC-00099	ERCC-00099	MissingGeneType
ERCC-00104	ERCC-00104	MissingGeneType
ERCC-00108	ERCC-00108	MissingGeneType
ERCC-00109	ERCC-00109	MissingGeneType
ERCC-00111	ERCC-00111	MissingGeneType
ERCC-00112	ERCC-00112	MissingGeneType
ERCC-00113	ERCC-00113	MissingGeneType
ERCC-00116	ERCC-00116	MissingGeneType
ERCC-00117	ERCC-00117	MissingGeneType
ERCC-00120	ERCC-00120	MissingGeneType
ERCC-00123	ERCC-00123	MissingGeneType
ERCC-00126	ERCC-00126	MissingGeneType
ERCC-00128	ERCC-00128	MissingGeneType
ERCC-00130	ERCC-00130	MissingGeneType
ERCC-00131	ERCC-00131	MissingGeneType
ERCC-00134	ERCC-00134	MissingGeneType
ERCC-00136	ERCC-00136	MissingGeneType
ERCC-00137	ERCC-00137	MissingGeneType
ERCC-00138	ERCC-00138	MissingGeneType
ERCC-00142	ERCC-00142	MissingGeneType
ERCC-00143	ERCC-00143	MissingGeneType
ERCC-00144	ERCC-00144	MissingGeneType
ERCC-00145	ERCC-00145	MissingGeneType
ERCC-00147	ERCC-00147	MissingGeneType
ERCC-00148	ERCC-00148	MissingGeneType
ERCC-00150	ERCC-00150	MissingGeneType
ERCC-00154	ERCC-00154	MissingGeneType
ERCC-00156	ERCC-00156	MissingGeneType
ERCC-00157	ERCC-00157	MissingGeneType
ERCC-00158	ERCC-00158	MissingGeneType
ERCC-00160	ERCC-00160	MissingGeneType
ERCC-00162	ERCC-00162	MissingGeneType
ERCC-00163	ERCC-00163	MissingGeneType
ERCC-00164	ERCC-00164	MissingGeneType
ERCC-00165	ERCC-00165	MissingGeneType
ERCC-00168	ERCC-00168	MissingGeneType
ERCC-00170	ERCC-00170	MissingGeneType
ERCC-00171	ERCC-00171	MissingGeneType
