96
KC702164	0	1036	1036	1	1	0	0
KC702165	262144	263142	1036	1	1	1	1
KC702166	524288	524786	263142	1	1	2	2
KC702167	786432	787542	524786	1	1	3	3
KC702168	1048576	1049535	787542	1	1	4	4
DQ883670	1310720	1311689	1049535	1	1	5	5
KC702169	1572864	1573647	1311689	1	1	6	6
KC702170	1835008	1836944	1573647	1	1	7	7
DQ883664	2097152	2097971	1836944	1	1	8	8
KC702171	2359296	2360408	2097971	1	1	9	9
KC702172	2621440	2622443	2360408	1	1	10	10
DQ883651	2883584	2884202	2622443	1	1	11	11
KC702173	3145728	3146454	2884202	1	1	12	12
KC702174	3407872	3408120	3146454	1	1	13	13
KC702175	3670016	3670526	3408120	1	1	14	14
DQ883689	3932160	3934129	3670526	1	1	15	15
KC702176	4194304	4195409	3934129	1	1	16	16
KC702177	4456448	4457561	4195409	1	1	17	17
KC702178	4718592	4720591	4457561	1	1	18	18
KC702179	4980736	4981730	4720591	1	1	19	19
KC702180	5242880	5243985	4981730	1	1	20	20
DQ883656	5505024	5505739	5243985	1	1	21	21
DQ883661	5767168	5767887	5505739	1	1	22	22
KC702181	6029312	6030412	5767887	1	1	23	23
KC702182	6291456	6292454	6030412	1	1	24	24
KC702183	6553600	6554598	6292454	1	1	25	25
KC702184	6815744	6816878	6554598	1	1	26	26
KC702185	7077888	7078385	6816878	1	1	27	27
DQ883671	7340032	7340999	7078385	1	1	28	28
KC702186	7602176	7602425	7340999	1	1	29	29
KC702187	7864320	7865318	7602425	1	1	30	30
KC702188	8126464	8126711	7865318	1	1	31	31
KC702189	8388608	8389607	8126711	1	1	32	32
KC702190	8650752	8651863	8389607	1	1	33	33
KC702191	8912896	8913396	8651863	1	1	34	34
KC702192	9175040	9175537	8913396	1	1	35	35
KC702193	9437184	9438295	9175537	1	1	36	36
KC702194	9699328	9700326	9438295	1	1	37	37
DQ883653	9961472	9962091	9700326	1	1	38	38
KC702195	10223616	10224728	9962091	1	1	39	39
DQ883654	10485760	10486377	10224728	1	1	40	40
KC702196	10747904	10748482	10486377	1	1	41	41
KC702197	11010048	11010545	10748482	1	1	42	42
KC702198	11272192	11273190	11010545	1	1	43	43
DQ883650	11534336	11534953	11273190	1	1	44	44
KC702199	11796480	11796729	11534953	1	1	45	45
DQ883673	12058624	12059592	11796729	1	1	46	46
DQ883652	12320768	12321387	12059592	1	1	47	47
KC702200	12582912	12583420	12321387	1	1	48	48
KC702201	12845056	12846054	12583420	1	1	49	49
DQ883682	13107200	13108169	12846054	1	1	50	50
DQ883669	13369344	13370163	13108169	1	1	51	51
KC702202	13631488	13632485	13370163	1	1	52	52
KC702203	13893632	13894731	13632485	1	1	53	53
KC702204	14155776	14156274	13894731	1	1	54	54
KC702205	14417920	14419002	14156274	1	1	55	55
KC702206	14680064	14680561	14419002	1	1	56	56
KC702207	14942208	14943325	14680561	1	1	57	57
KC702208	15204352	15205675	14943325	1	1	58	58
KC702209	15466496	15468494	15205675	1	1	59	59
KC702210	15728640	15729636	15468494	1	1	60	60
KC702211	15990784	15991295	15729636	1	1	61	61
DQ883685	16252928	16253897	15991295	1	1	62	62
KC702212	16515072	16516183	16253897	1	1	63	63
DQ883663	16777216	16778032	16516183	1	1	64	64
KC702213	17039360	17041328	16778032	1	1	65	65
KC702214	17301504	17302615	17041328	1	1	66	66
KC702215	17563648	17564159	17302615	1	1	67	67
KC702216	17825792	17826789	17564159	1	1	68	68
KC702217	18087936	18089032	17826789	1	1	69	69
KC702218	18350080	18351188	18089032	1	1	70	70
KC702219	18612224	18613260	18351188	1	1	71	71
KC702220	18874368	18875114	18613260	1	1	72	72
KC702221	19136512	19136760	18875114	1	1	73	73
KC702222	19398656	19399666	19136760	1	1	74	74
KC702223	19660800	19661312	19399666	1	1	75	75
KC702224	19922944	19923940	19661312	1	1	76	76
DQ883646	20185088	20185557	19923940	1	1	77	77
KC702225	20447232	20447990	20185557	1	1	78	78
KC702226	20709376	20709888	20447990	1	1	79	79
KC702227	20971520	20972535	20709888	1	1	80	80
KC702228	21233664	21234662	20972535	1	1	81	81
DQ883642	21495808	21496277	21234662	1	1	82	82
DQ883659	21757952	21758670	21496277	1	1	83	83
KC702229	22020096	22020608	21758670	1	1	84	84
DQ883643	22282240	22282709	22020608	1	1	85	85
KC702230	22544384	22545378	22282709	1	1	86	86
KC702231	22806528	22807525	22545378	1	1	87	87
DQ883658	23068672	23069390	22807525	1	1	88	88
KC702232	23330816	23331314	23069390	1	1	89	89
KC702233	23592960	23593478	23331314	1	1	90	90
KC702234	23855104	23856102	23593478	1	1	91	91
KC702235	24117248	24118095	23856102	1	1	92	92
KC702236	24379392	24380390	24118095	1	1	93	93
KC702237	24641536	24642534	24380390	1	1	94	94
KC702238	24903680	24904160	24642534	1	1	95	95
