96
0	1036	0
0	998	0
0	498	0
0	1110	0
0	959	0
0	969	0
0	783	0
0	1936	0
0	819	0
0	1112	0
0	1003	0
0	618	0
0	726	0
0	248	0
0	510	0
0	1969	0
0	1105	0
0	1113	0
0	1999	0
0	994	0
0	1105	0
0	715	0
0	719	0
0	1100	0
0	998	0
0	998	0
0	1134	0
0	497	0
0	967	0
0	249	0
0	998	0
0	247	0
0	999	0
0	1111	0
0	500	0
0	497	0
0	1111	0
0	998	0
0	619	0
0	1112	0
0	617	0
0	578	0
0	497	0
0	998	0
0	617	0
0	249	0
0	968	0
0	619	0
0	508	0
0	998	0
0	969	0
0	819	0
0	997	0
0	1099	0
0	498	0
0	1082	0
0	497	0
0	1117	0
0	1323	0
0	1998	0
0	996	0
0	511	0
0	969	0
0	1111	0
0	816	0
0	1968	0
0	1111	0
0	511	0
0	997	0
0	1096	0
0	1108	0
0	1036	0
0	746	0
0	248	0
0	1010	0
0	512	0
0	996	0
0	469	0
0	758	0
0	512	0
0	1015	0
0	998	0
0	469	0
0	718	0
0	512	0
0	469	0
0	994	0
0	997	0
0	718	0
0	498	0
0	518	0
0	998	0
0	847	0
0	998	0
0	998	0
0	480	0
